Metric,Value
Total Tariff Lines,"13,702"
Free Items,"5,960 (43.5%)"
Ad Valorem Items,"6,760 (49.3%)"
Specific Duty Items,777 (5.7%)
Other/Reference Items,205 (1.5%)
